Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Indonesia,2024,Malaria,Autoimmune,0.15,14.8,1.13,0-18,Other,865976.0,94.2,1.38,6.22,Medication,8042.0,No,88.0,1333.0,0.97,67070.0,0.66,62.77
Brazil,2011,Hiv/Aids,Neurological,0.87,9.56,0.86,36-60,Other,639737.0,72.6,3.51,6.32,Medication,31601.0,Yes,85.28,4440.0,6.88,66852.0,0.53,84.34
India,2012,Tuberculosis,Viral,0.34,9.5,6.63,61+,Male,422288.0,73.29,3.79,4.62,Therapy,38640.0,Yes,80.84,1126.0,2.85,29738.0,0.54,66.78
Brazil,2016,Zika,Metabolic,0.81,11.33,1.32,61+,Female,771137.0,62.24,4.71,3.83,Therapy,44698.0,No,60.64,2815.0,4.78,66013.0,0.63,64.42
China,2010,Dengue,Cardiovascular,0.75,10.33,4.07,61+,Female,300465.0,73.8,1.69,3.75,Vaccination,5283.0,Yes,96.82,587.0,2.52,21029.0,0.48,74.65
China,2021,Tuberculosis,Metabolic,0.37,11.64,9.05,19-35,Male,688415.0,59.05,4.71,7.03,Therapy,19804.0,No,87.88,3097.0,6.0,57096.0,0.47,30.74
Mexico,2024,Malaria,Parasitic,0.21,5.28,9.16,0-18,Other,83149.0,93.09,0.68,5.48,Surgery,28083.0,No,75.07,1919.0,3.68,80493.0,0.85,49.13
Saudi Arabia,2020,Cancer,Respiratory,0.69,6.55,7.68,0-18,Male,679997.0,71.91,1.66,5.26,Vaccination,35298.0,No,72.45,2290.0,2.42,14849.0,0.53,33.47
South Africa,2022,Malaria,Metabolic,0.35,9.49,1.06,0-18,Female,52749.0,71.23,1.44,5.35,Vaccination,7066.0,No,72.59,68.0,6.94,48355.0,0.87,84.97
South Korea,2012,Ebola,Chronic,0.53,10.97,5.13,0-18,Female,327866.0,85.35,0.62,5.25,Surgery,42776.0,Yes,51.05,3505.0,5.09,71911.0,0.44,72.0
Saudi Arabia,2023,Cancer,Chronic,0.68,8.75,3.75,0-18,Other,857285.0,85.13,3.57,8.53,Surgery,37356.0,No,65.27,2593.0,6.96,15138.0,0.42,85.82
Indonesia,2015,Cancer,Genetic,0.38,0.37,3.11,61+,Male,773310.0,85.29,4.0,0.89,Therapy,8017.0,Yes,88.86,428.0,5.87,69165.0,0.76,80.85
Argentina,2011,Influenza,Parasitic,0.51,0.97,7.85,0-18,Female,39573.0,83.45,1.84,9.87,Therapy,2142.0,No,83.15,3064.0,0.15,18067.0,0.68,48.93
Italy,2015,Zika,Metabolic,0.73,8.51,2.26,0-18,Other,867888.0,82.79,4.45,3.89,Surgery,28511.0,No,77.75,4158.0,6.17,21142.0,0.56,41.32
France,2018,Hypertension,Neurological,0.12,5.91,6.34,36-60,Male,17792.0,99.11,2.26,9.68,Therapy,15637.0,No,93.07,4257.0,5.68,52491.0,0.54,65.89
South Korea,2017,Cancer,Cardiovascular,0.99,11.3,3.35,61+,Male,202799.0,70.45,3.4,8.72,Surgery,45638.0,Yes,71.59,3038.0,6.43,76558.0,0.62,78.79
Argentina,2018,Tuberculosis,Chronic,0.91,14.2,4.49,0-18,Male,89721.0,75.97,2.89,4.92,Medication,20135.0,Yes,89.61,3462.0,7.64,78468.0,0.88,36.77
Mexico,2019,Rabies,Metabolic,0.44,4.67,4.65,61+,Male,602536.0,83.4,4.68,2.26,Vaccination,11279.0,Yes,57.02,548.0,7.97,12054.0,0.72,76.93
China,2017,Dengue,Infectious,0.13,12.59,0.47,61+,Male,229140.0,68.29,3.91,5.28,Medication,14564.0,Yes,94.88,2008.0,8.08,83388.0,0.48,45.81
Saudi Arabia,2010,Covid-19,Respiratory,0.31,8.65,4.9,19-35,Male,592412.0,84.78,4.68,3.45,Surgery,45955.0,No,74.77,2440.0,6.7,99401.0,0.52,27.31
South Africa,2012,Hypertension,Bacterial,0.29,0.47,5.49,0-18,Male,585362.0,69.7,0.75,1.84,Vaccination,41218.0,Yes,95.39,1560.0,0.29,87564.0,0.43,57.88
Uk,2016,Influenza,Infectious,0.43,4.33,8.8,61+,Male,756944.0,59.52,1.29,2.79,Surgery,9433.0,Yes,67.13,398.0,5.91,46480.0,0.53,69.5
Argentina,2015,Alzheimer'S Disease,Respiratory,0.54,11.33,9.43,19-35,Male,756006.0,76.61,1.13,3.93,Vaccination,43878.0,Yes,92.59,3292.0,6.7,88291.0,0.65,34.91
Italy,2022,Hepatitis,Bacterial,0.21,5.23,7.56,61+,Female,727737.0,60.61,1.95,8.84,Medication,8246.0,No,76.42,3770.0,3.53,62061.0,0.71,43.16
Argentina,2016,Hepatitis,Respiratory,0.14,8.84,1.15,19-35,Male,760593.0,96.89,4.75,3.83,Surgery,30383.0,No,63.77,1054.0,0.25,61860.0,0.79,45.72
Canada,2019,Hepatitis,Genetic,0.65,6.69,7.96,0-18,Female,9288.0,86.26,2.2,6.91,Therapy,5047.0,No,93.64,3345.0,8.24,19157.0,0.82,61.1
India,2010,Tuberculosis,Genetic,0.89,13.6,2.85,0-18,Other,363706.0,95.8,3.81,2.3,Therapy,4783.0,Yes,70.95,4993.0,3.24,12144.0,0.59,77.99
Uk,2014,Leprosy,Metabolic,0.65,8.34,8.38,0-18,Female,530674.0,82.08,3.65,6.42,Medication,17875.0,Yes,83.88,2274.0,7.83,56117.0,0.69,26.44
Indonesia,2022,Malaria,Cardiovascular,0.19,12.74,8.08,19-35,Male,763342.0,74.16,2.56,8.34,Vaccination,4820.0,Yes,84.25,1261.0,3.02,68146.0,0.53,28.02
Brazil,2016,Cholera,Infectious,0.16,12.58,3.26,61+,Female,955876.0,60.89,1.18,3.64,Vaccination,44418.0,No,71.29,4457.0,3.57,69389.0,0.49,56.78
Argentina,2013,Cholera,Genetic,0.23,9.3,5.36,61+,Other,804854.0,94.53,4.29,2.66,Medication,35675.0,Yes,75.78,1060.0,3.61,4184.0,0.82,53.83
Russia,2015,Tuberculosis,Cardiovascular,0.81,13.89,9.31,61+,Female,147953.0,69.65,4.11,2.2,Therapy,2820.0,No,62.65,217.0,2.17,85524.0,0.58,58.25
Australia,2010,Measles,Autoimmune,0.42,7.77,4.37,0-18,Male,280151.0,84.24,0.74,5.21,Therapy,3808.0,No,88.52,3538.0,6.53,78916.0,0.67,67.21
Argentina,2016,Zika,Bacterial,0.57,5.78,2.62,19-35,Male,518302.0,88.76,2.74,4.22,Therapy,12648.0,No,51.53,1920.0,9.22,43875.0,0.46,80.3
Argentina,2022,Polio,Neurological,0.74,4.08,3.87,36-60,Male,215298.0,69.51,0.92,6.05,Vaccination,46260.0,Yes,87.49,3997.0,8.76,78417.0,0.86,83.69
Argentina,2019,Tuberculosis,Infectious,0.5,6.89,9.7,61+,Other,200513.0,62.09,3.11,0.73,Therapy,9383.0,No,64.94,1526.0,1.87,75942.0,0.87,56.51
South Africa,2018,Influenza,Parasitic,0.85,11.64,7.97,19-35,Male,450907.0,70.92,1.48,6.2,Therapy,36307.0,No,96.41,3711.0,8.36,9882.0,0.41,41.66
Saudi Arabia,2012,Hiv/Aids,Metabolic,0.41,8.96,8.95,36-60,Other,778701.0,71.6,3.98,7.97,Therapy,3753.0,Yes,83.01,1896.0,0.45,69600.0,0.74,51.74
Japan,2021,Zika,Parasitic,0.74,5.62,4.03,36-60,Other,40978.0,74.41,2.83,5.97,Medication,25100.0,No,70.62,3011.0,5.88,90189.0,0.62,83.63
Russia,2010,Rabies,Neurological,0.98,6.62,8.59,36-60,Male,393848.0,96.9,3.01,5.62,Surgery,30099.0,No,91.78,3446.0,3.17,1149.0,0.83,23.85
Saudi Arabia,2021,Measles,Metabolic,0.14,7.04,7.25,61+,Male,92286.0,91.47,2.42,6.97,Medication,8506.0,Yes,76.3,1024.0,7.05,75468.0,0.73,45.58
Indonesia,2019,Parkinson'S Disease,Viral,0.29,4.97,0.61,0-18,Female,979607.0,68.04,3.57,8.56,Vaccination,48253.0,Yes,96.37,3709.0,5.14,30142.0,0.52,38.98
Mexico,2012,Leprosy,Respiratory,0.48,12.79,0.67,61+,Male,176061.0,55.59,2.49,9.96,Therapy,188.0,Yes,60.03,1836.0,7.85,73116.0,0.47,77.09
Brazil,2017,Ebola,Parasitic,0.8,10.85,0.52,36-60,Other,614819.0,61.27,1.82,4.15,Therapy,27507.0,No,66.62,2134.0,1.97,81872.0,0.75,37.13
Mexico,2023,Parkinson'S Disease,Viral,0.93,14.12,5.15,0-18,Male,311838.0,74.67,2.95,2.25,Therapy,27294.0,No,73.31,3372.0,8.93,41777.0,0.65,32.64
Nigeria,2012,Hypertension,Autoimmune,0.84,12.0,3.36,61+,Other,263236.0,75.7,4.85,6.4,Vaccination,14901.0,Yes,77.12,290.0,8.84,32399.0,0.68,34.37
Russia,2019,Influenza,Metabolic,0.98,6.67,8.25,19-35,Other,76695.0,78.39,0.53,7.96,Medication,34473.0,Yes,75.28,296.0,5.85,27692.0,0.86,77.43
South Africa,2019,Polio,Respiratory,0.61,14.37,5.55,19-35,Other,54997.0,62.38,1.23,5.82,Vaccination,1592.0,Yes,52.03,597.0,1.33,67739.0,0.66,56.87
Indonesia,2021,Covid-19,Chronic,0.82,6.27,0.71,61+,Male,521967.0,61.25,4.01,7.24,Vaccination,10900.0,No,80.95,3836.0,0.57,7268.0,0.87,76.75
South Korea,2010,Parkinson'S Disease,Cardiovascular,0.86,10.49,5.72,19-35,Male,313237.0,99.26,2.67,4.9,Therapy,4054.0,Yes,79.56,875.0,5.61,59515.0,0.49,25.33
South Africa,2022,Cholera,Chronic,0.28,10.65,9.64,36-60,Other,734724.0,96.44,3.3,8.76,Surgery,5774.0,No,87.43,1559.0,3.52,38131.0,0.55,76.7
Germany,2022,Alzheimer'S Disease,Parasitic,0.16,7.9,2.06,19-35,Male,793986.0,72.09,1.33,7.87,Therapy,2408.0,Yes,75.1,2840.0,4.91,24288.0,0.43,34.83
Brazil,2020,Hiv/Aids,Infectious,0.98,2.43,4.47,0-18,Male,950710.0,78.13,1.62,3.6,Medication,41311.0,No,87.26,221.0,2.23,71589.0,0.86,33.49
Nigeria,2020,Hiv/Aids,Genetic,0.95,1.46,8.22,0-18,Male,694734.0,74.43,2.02,5.85,Medication,1705.0,Yes,56.67,1765.0,9.08,39878.0,0.61,22.86
India,2011,Measles,Parasitic,0.18,13.64,8.34,36-60,Male,861038.0,54.89,1.04,1.22,Vaccination,39089.0,Yes,90.76,3756.0,6.17,62136.0,0.43,70.75
China,2012,Zika,Cardiovascular,0.67,11.14,4.61,0-18,Female,560454.0,70.45,2.77,3.17,Medication,16018.0,Yes,97.38,4192.0,6.79,17833.0,0.54,79.61
Saudi Arabia,2022,Rabies,Genetic,0.7,12.91,2.17,19-35,Male,502023.0,92.62,1.5,5.67,Medication,12662.0,Yes,59.9,3008.0,5.95,5001.0,0.79,38.24
South Korea,2018,Asthma,Autoimmune,0.6,0.81,2.39,61+,Female,520056.0,67.47,4.31,8.87,Surgery,44652.0,Yes,93.05,4442.0,4.37,98425.0,0.56,33.91
Argentina,2021,Influenza,Neurological,0.12,13.99,3.87,61+,Other,811148.0,81.12,3.97,0.72,Medication,5771.0,No,88.53,4284.0,5.62,95265.0,0.67,83.8
Russia,2010,Covid-19,Infectious,0.18,2.66,3.35,0-18,Other,45438.0,57.89,1.76,7.63,Surgery,23181.0,Yes,89.21,4724.0,9.18,21917.0,0.4,78.28
Italy,2011,Ebola,Parasitic,0.84,2.82,0.84,19-35,Other,84738.0,52.86,3.0,7.1,Surgery,14375.0,Yes,61.07,576.0,1.94,62317.0,0.87,46.08
Brazil,2023,Diabetes,Respiratory,0.91,8.62,3.78,36-60,Male,775208.0,67.93,3.19,5.56,Vaccination,35907.0,No,71.9,2524.0,7.81,73448.0,0.89,71.87
China,2014,Covid-19,Genetic,0.77,7.48,3.16,19-35,Other,100366.0,51.75,2.23,9.11,Vaccination,10230.0,Yes,86.07,2072.0,7.37,37000.0,0.69,31.2
Russia,2017,Hepatitis,Cardiovascular,0.4,7.39,4.55,0-18,Other,345094.0,75.64,0.95,7.77,Vaccination,8333.0,Yes,80.7,3655.0,4.22,81861.0,0.84,59.26
Argentina,2018,Parkinson'S Disease,Cardiovascular,0.29,3.16,8.41,19-35,Male,446064.0,92.94,2.39,5.12,Vaccination,8091.0,No,86.42,3913.0,0.69,55765.0,0.58,56.64
Uk,2021,Hepatitis,Chronic,0.13,2.85,4.8,19-35,Female,830452.0,67.56,4.35,4.98,Medication,47500.0,No,61.1,656.0,6.87,98768.0,0.67,83.53
France,2023,Hepatitis,Genetic,0.64,8.12,5.14,0-18,Male,284315.0,69.24,0.9,4.53,Vaccination,16656.0,Yes,70.07,4397.0,4.79,23220.0,0.47,70.51
Argentina,2011,Polio,Parasitic,0.74,9.54,4.34,19-35,Female,100742.0,81.35,2.34,8.3,Vaccination,24368.0,No,66.65,1241.0,0.53,68136.0,0.84,62.3
Germany,2021,Measles,Genetic,0.54,5.27,4.91,0-18,Male,881124.0,59.24,2.44,4.61,Therapy,42673.0,No,59.95,4302.0,2.13,46125.0,0.42,20.45
Turkey,2022,Malaria,Genetic,0.28,0.36,0.74,19-35,Male,260640.0,86.39,2.84,7.53,Surgery,38405.0,No,69.2,683.0,7.63,35709.0,0.53,62.93
Nigeria,2014,Rabies,Chronic,0.12,12.17,0.6,0-18,Male,655266.0,57.22,3.24,5.81,Surgery,33134.0,Yes,96.54,1920.0,6.1,20626.0,0.68,59.41
Usa,2010,Cholera,Viral,0.19,0.23,3.42,61+,Female,398980.0,75.76,0.97,0.78,Vaccination,32024.0,Yes,91.61,152.0,3.54,4330.0,0.86,84.76
Germany,2022,Covid-19,Genetic,0.24,3.17,3.04,36-60,Female,611038.0,95.23,1.47,0.95,Vaccination,39855.0,Yes,79.52,2162.0,1.32,63412.0,0.73,60.02
Russia,2023,Asthma,Viral,0.73,1.23,3.83,36-60,Other,59496.0,67.59,2.92,2.72,Medication,32902.0,Yes,62.05,1117.0,5.12,10981.0,0.81,85.8
Australia,2020,Malaria,Chronic,0.43,5.44,5.36,61+,Female,622341.0,57.57,2.74,1.1,Surgery,12238.0,No,72.24,452.0,6.75,47170.0,0.81,43.85
France,2016,Zika,Respiratory,0.73,5.86,8.5,36-60,Other,469277.0,56.77,2.9,7.92,Surgery,6028.0,Yes,67.45,3378.0,4.65,36124.0,0.84,42.5
Turkey,2024,Covid-19,Autoimmune,0.86,9.32,8.87,0-18,Male,995297.0,54.76,1.07,4.46,Therapy,42236.0,Yes,81.51,1363.0,4.91,29470.0,0.86,21.94
Russia,2019,Cholera,Parasitic,1.0,1.65,3.36,19-35,Female,511375.0,75.34,2.28,4.51,Surgery,44997.0,No,67.4,214.0,9.52,74173.0,0.6,46.43
Nigeria,2017,Parkinson'S Disease,Respiratory,0.23,14.92,8.13,0-18,Female,779753.0,55.68,1.9,3.02,Vaccination,2475.0,Yes,98.42,4848.0,8.23,95814.0,0.66,62.48
France,2016,Malaria,Metabolic,0.39,4.36,8.02,0-18,Other,320473.0,79.06,1.22,4.46,Therapy,6743.0,Yes,61.4,3039.0,8.28,41125.0,0.78,36.71
Australia,2010,Alzheimer'S Disease,Infectious,0.81,10.06,5.72,0-18,Other,997632.0,90.55,2.56,1.82,Medication,13693.0,Yes,59.12,3012.0,3.46,19633.0,0.61,83.87
China,2016,Polio,Cardiovascular,0.62,11.47,6.28,19-35,Male,118589.0,87.7,1.61,9.35,Surgery,15627.0,No,60.82,3971.0,5.47,10018.0,0.69,32.61
South Africa,2017,Hiv/Aids,Genetic,0.39,10.08,8.46,61+,Other,563182.0,74.97,4.91,1.74,Medication,27475.0,No,62.92,1246.0,8.05,51228.0,0.76,28.54
Indonesia,2021,Hepatitis,Bacterial,0.3,8.08,2.74,0-18,Female,576277.0,68.3,3.99,1.67,Vaccination,12447.0,Yes,85.64,4990.0,2.4,28922.0,0.55,75.12
Germany,2022,Hypertension,Neurological,0.76,8.09,5.3,61+,Female,495929.0,91.71,2.08,5.3,Medication,45124.0,Yes,96.34,1562.0,3.51,30593.0,0.7,55.44
India,2018,Alzheimer'S Disease,Bacterial,0.7,14.86,8.89,0-18,Male,399623.0,71.16,3.73,2.93,Therapy,42624.0,Yes,74.56,1553.0,4.93,46680.0,0.58,43.04
Canada,2014,Zika,Genetic,0.49,3.44,6.36,19-35,Male,665288.0,88.16,2.49,9.33,Therapy,30119.0,No,82.28,4939.0,5.86,61469.0,0.51,44.61
India,2018,Parkinson'S Disease,Respiratory,0.39,12.46,0.95,0-18,Male,365070.0,81.18,0.56,5.3,Medication,37794.0,Yes,52.2,4888.0,5.19,60430.0,0.84,44.18
Canada,2022,Polio,Neurological,0.72,10.05,7.4,61+,Male,965135.0,64.94,0.93,7.86,Medication,4399.0,Yes,95.33,366.0,0.91,84787.0,0.72,21.17
Indonesia,2017,Malaria,Neurological,0.36,8.95,6.38,61+,Female,861945.0,53.91,1.78,9.31,Surgery,17730.0,No,61.53,4050.0,2.55,37956.0,0.88,41.62
Australia,2024,Hepatitis,Chronic,0.45,10.44,8.28,0-18,Female,832207.0,83.15,3.82,5.69,Therapy,31898.0,Yes,56.82,4310.0,1.2,14274.0,0.42,88.18
Brazil,2010,Influenza,Chronic,0.44,1.97,5.47,0-18,Other,351460.0,92.28,4.39,9.39,Surgery,44842.0,Yes,91.45,494.0,7.5,99204.0,0.51,43.23
Japan,2022,Measles,Metabolic,0.13,6.94,3.4,61+,Female,623511.0,59.18,3.92,5.11,Vaccination,15763.0,Yes,95.66,1770.0,1.54,69283.0,0.41,71.94
South Korea,2018,Dengue,Parasitic,0.13,13.12,9.95,19-35,Male,243896.0,59.14,3.12,6.96,Medication,27720.0,No,75.96,3259.0,1.1,36486.0,0.77,30.99
Saudi Arabia,2010,Diabetes,Bacterial,0.44,12.32,8.82,36-60,Other,470560.0,58.21,3.25,9.02,Surgery,13036.0,No,87.14,4914.0,0.18,81372.0,0.47,26.15
France,2013,Asthma,Autoimmune,0.32,5.77,6.29,36-60,Female,846084.0,53.96,3.64,5.82,Surgery,41718.0,No,52.65,811.0,6.75,60844.0,0.88,52.03
Japan,2015,Cholera,Respiratory,0.57,5.22,3.22,0-18,Other,966685.0,65.0,1.73,8.72,Surgery,3349.0,Yes,68.22,2182.0,0.33,33647.0,0.51,47.72
Indonesia,2016,Polio,Parasitic,0.17,5.72,1.43,61+,Male,142721.0,55.15,0.93,1.49,Medication,17065.0,Yes,63.76,1108.0,7.09,91607.0,0.4,88.18
France,2022,Cholera,Chronic,1.0,1.98,0.92,19-35,Other,234241.0,80.84,3.91,4.61,Vaccination,44557.0,Yes,60.73,2190.0,3.51,30695.0,0.7,29.17
Uk,2011,Cholera,Infectious,0.34,6.8,5.2,61+,Female,241029.0,55.08,3.98,9.94,Vaccination,48683.0,Yes,63.67,2653.0,8.2,56521.0,0.54,29.4
China,2021,Influenza,Genetic,0.51,8.95,6.97,19-35,Female,320131.0,85.99,4.76,6.62,Medication,33980.0,Yes,54.38,2649.0,6.99,55439.0,0.42,46.68
Saudi Arabia,2016,Hepatitis,Chronic,0.43,8.43,9.93,19-35,Other,840712.0,58.26,4.98,4.71,Surgery,41099.0,No,69.21,4324.0,7.59,86819.0,0.57,82.62
South Korea,2018,Cholera,Genetic,0.8,3.85,6.88,61+,Female,175474.0,79.26,4.53,3.33,Medication,45915.0,Yes,55.59,2959.0,0.43,62191.0,0.43,51.6
France,2023,Tuberculosis,Genetic,0.89,10.96,2.24,36-60,Male,116639.0,56.32,4.09,8.04,Vaccination,4236.0,No,57.05,1351.0,7.22,38674.0,0.68,22.62
Turkey,2024,Hiv/Aids,Metabolic,0.21,7.7,3.0,36-60,Male,799648.0,74.56,2.98,3.44,Surgery,38194.0,Yes,68.06,3336.0,5.56,98113.0,0.42,41.41
Turkey,2015,Polio,Neurological,0.44,12.41,5.4,0-18,Female,730589.0,69.3,3.71,1.32,Therapy,43757.0,No,69.79,3886.0,6.94,67066.0,0.62,59.63
Nigeria,2010,Leprosy,Bacterial,0.6,13.03,0.12,0-18,Male,354031.0,86.29,3.31,9.29,Surgery,6714.0,No,50.15,647.0,5.8,93577.0,0.59,30.52
Australia,2012,Ebola,Viral,0.24,13.62,2.69,0-18,Female,45996.0,66.02,4.79,9.76,Vaccination,27525.0,Yes,86.73,3977.0,5.23,48852.0,0.64,33.34
Mexico,2016,Cholera,Chronic,0.92,13.76,7.64,61+,Male,97581.0,86.79,4.37,2.42,Therapy,26991.0,Yes,53.7,647.0,9.64,58855.0,0.77,84.5
Uk,2016,Cancer,Parasitic,0.21,4.22,2.48,36-60,Male,174385.0,53.8,1.93,5.86,Therapy,31061.0,No,91.24,4801.0,3.17,59825.0,0.65,21.35
Uk,2011,Hiv/Aids,Cardiovascular,0.98,9.78,8.18,61+,Other,348296.0,51.12,1.3,7.3,Therapy,20830.0,No,71.97,4020.0,5.48,89192.0,0.74,30.52
France,2021,Parkinson'S Disease,Chronic,0.56,2.53,4.17,0-18,Male,716791.0,61.97,4.84,9.23,Vaccination,14029.0,Yes,56.82,980.0,9.68,23955.0,0.43,40.29
South Africa,2013,Alzheimer'S Disease,Neurological,0.13,3.9,0.34,61+,Other,724481.0,61.7,3.85,1.39,Vaccination,18721.0,No,78.35,4113.0,6.83,93978.0,0.86,54.4
China,2020,Cancer,Cardiovascular,0.51,0.33,2.51,19-35,Female,874523.0,70.46,3.49,4.77,Therapy,41047.0,Yes,85.94,2749.0,5.86,83284.0,0.51,50.81
Germany,2022,Zika,Genetic,0.74,7.93,6.64,36-60,Male,197585.0,96.93,4.59,6.62,Surgery,49878.0,No,86.7,4568.0,6.39,36027.0,0.53,63.61
South Korea,2015,Dengue,Autoimmune,0.33,12.64,9.33,0-18,Other,314217.0,91.7,0.8,2.59,Vaccination,19319.0,Yes,84.09,802.0,8.75,31526.0,0.41,76.25
Japan,2010,Hiv/Aids,Metabolic,0.57,2.62,7.47,0-18,Male,579443.0,69.6,3.47,8.79,Therapy,2174.0,No,77.49,3360.0,4.73,32687.0,0.8,21.9
India,2014,Leprosy,Metabolic,0.35,7.1,3.47,0-18,Other,545431.0,62.49,1.08,4.42,Therapy,19479.0,Yes,96.05,609.0,0.07,71687.0,0.47,65.23
Italy,2014,Tuberculosis,Neurological,0.42,0.95,2.31,61+,Female,62136.0,78.35,2.51,2.86,Therapy,46610.0,No,97.49,833.0,5.14,47954.0,0.58,71.28
India,2021,Zika,Infectious,0.76,13.32,8.02,61+,Female,733826.0,54.91,1.59,0.76,Vaccination,5416.0,Yes,91.29,3771.0,6.14,66691.0,0.74,78.15
Usa,2014,Diabetes,Parasitic,0.59,0.48,8.11,19-35,Male,66853.0,90.03,0.71,4.7,Vaccination,40247.0,Yes,92.89,1932.0,3.86,64425.0,0.85,69.51
South Africa,2010,Hypertension,Bacterial,0.36,12.55,0.23,61+,Other,161413.0,97.92,0.56,1.41,Surgery,29627.0,Yes,63.51,1165.0,4.52,96829.0,0.71,66.32
Turkey,2020,Diabetes,Autoimmune,0.58,10.09,7.73,0-18,Female,17040.0,96.35,3.48,7.8,Therapy,5412.0,Yes,91.95,4679.0,0.98,78740.0,0.83,64.58
Japan,2024,Polio,Cardiovascular,0.23,2.43,9.69,0-18,Female,643263.0,83.38,0.67,2.88,Therapy,27995.0,Yes,83.63,1111.0,7.59,56251.0,0.4,89.96
Australia,2012,Alzheimer'S Disease,Autoimmune,0.59,3.2,6.59,61+,Male,211292.0,77.51,0.77,2.29,Vaccination,14417.0,Yes,65.54,4166.0,3.46,20284.0,0.68,71.24
Brazil,2020,Measles,Parasitic,0.38,12.36,2.93,0-18,Female,416738.0,62.7,0.67,3.64,Medication,36059.0,No,66.54,3439.0,6.93,15067.0,0.43,26.78
Nigeria,2023,Alzheimer'S Disease,Genetic,0.69,10.59,1.73,0-18,Male,662271.0,53.96,3.32,2.35,Vaccination,25758.0,Yes,75.46,4993.0,3.35,74575.0,0.73,76.57
Australia,2018,Covid-19,Autoimmune,0.4,3.06,0.79,61+,Female,829581.0,61.91,3.18,6.67,Vaccination,39807.0,Yes,69.79,304.0,4.88,10085.0,0.75,39.77
Usa,2015,Covid-19,Metabolic,0.21,9.86,8.02,36-60,Female,334702.0,94.73,1.0,3.56,Surgery,26143.0,No,54.23,903.0,8.24,84906.0,0.64,26.67
Usa,2022,Hypertension,Chronic,0.68,5.44,4.85,36-60,Other,507090.0,90.05,0.97,1.89,Therapy,15007.0,Yes,85.85,1370.0,7.16,81664.0,0.62,42.05
Nigeria,2012,Leprosy,Metabolic,0.13,12.84,9.22,61+,Male,221815.0,64.16,3.75,9.24,Surgery,13625.0,Yes,90.06,4091.0,1.72,47476.0,0.42,53.7
Nigeria,2015,Hepatitis,Neurological,0.27,4.32,0.44,0-18,Other,313535.0,58.26,0.86,3.55,Surgery,35610.0,No,58.97,1503.0,8.33,28666.0,0.59,56.89
South Africa,2017,Diabetes,Genetic,0.82,4.14,4.32,0-18,Other,310465.0,84.68,4.97,5.9,Vaccination,19038.0,No,83.16,4756.0,7.49,25691.0,0.82,36.04
South Africa,2011,Measles,Bacterial,0.41,9.98,9.23,36-60,Female,382500.0,85.48,0.64,9.78,Medication,42805.0,Yes,86.93,3780.0,3.36,56161.0,0.55,60.39
Usa,2015,Hepatitis,Parasitic,0.39,14.36,4.89,61+,Other,409254.0,69.41,3.24,7.34,Surgery,7249.0,Yes,65.77,2903.0,9.39,67861.0,0.75,48.49
Japan,2017,Alzheimer'S Disease,Respiratory,0.86,5.99,1.01,36-60,Male,261633.0,53.72,4.11,6.82,Vaccination,42582.0,No,61.81,3117.0,2.33,72505.0,0.67,52.25
Indonesia,2023,Hepatitis,Bacterial,0.55,11.04,3.83,0-18,Other,510754.0,77.89,3.24,8.73,Vaccination,7177.0,No,64.44,3333.0,4.46,30553.0,0.48,34.34
France,2014,Covid-19,Parasitic,0.13,3.26,9.8,36-60,Female,870553.0,52.41,3.63,1.3,Surgery,44989.0,Yes,84.58,4192.0,3.19,92919.0,0.78,62.93
India,2010,Diabetes,Genetic,0.74,9.3,8.01,0-18,Male,29508.0,63.2,2.28,4.36,Surgery,5340.0,Yes,68.45,2422.0,0.38,80271.0,0.76,69.88
Uk,2012,Leprosy,Viral,0.83,0.25,0.75,61+,Female,119907.0,74.25,4.23,7.97,Surgery,12153.0,No,52.96,123.0,1.82,87695.0,0.67,48.63
Turkey,2013,Parkinson'S Disease,Metabolic,0.66,10.86,2.85,0-18,Female,134915.0,65.37,1.93,6.56,Therapy,24554.0,No,50.84,1782.0,5.08,35182.0,0.62,88.17
Germany,2010,Diabetes,Metabolic,0.85,12.86,9.55,0-18,Female,417592.0,57.47,4.46,6.47,Vaccination,4532.0,No,69.53,1616.0,1.06,31365.0,0.73,89.68
Turkey,2024,Rabies,Neurological,0.18,10.24,5.75,19-35,Female,471159.0,53.91,4.5,8.79,Therapy,17181.0,Yes,58.06,4946.0,7.36,84298.0,0.48,23.57
Uk,2014,Leprosy,Metabolic,0.77,6.92,2.08,19-35,Male,886872.0,74.15,2.39,7.56,Therapy,37050.0,Yes,90.25,732.0,0.81,65718.0,0.6,82.11
Uk,2024,Malaria,Genetic,0.34,1.4,7.55,36-60,Other,677128.0,70.29,3.12,1.41,Therapy,1997.0,No,96.6,3536.0,2.5,39039.0,0.83,88.54
South Korea,2016,Covid-19,Bacterial,0.88,8.26,4.09,0-18,Other,361438.0,99.79,2.55,9.71,Surgery,31390.0,No,70.85,4119.0,8.1,70571.0,0.61,61.92
